constructorStandingsId,raceId,constructorId,points,position,positionText,wins
"28224,1082,131,188,3,""3"",0"
"28229,1082,117,16,8,""8"",0"
"28227,1082,214,57,5,""5"",0"
"28226,1082,51,51,6,""6"",0"
"28233,1083,6,265,2,""2"",3"
"28234,1083,131,204,3,""3"",0"
"28235,1083,210,20,8,""8"",0"
"28236,1083,51,51,6,""6"",0"
"28237,1083,214,67,5,""5"",0"
"28238,1083,213,27,7,""7"",0"
"28239,1083,117,18,9,""9"",0"
"28240,1083,3,3,10,""10"",0"
"28241,1083,1,73,4,""4"",0"
"28242,1083,9,328,1,""1"",7"
"28243,1084,6,303,2,""2"",4"
"28244,1084,131,237,3,""3"",0"
"28245,1084,210,34,7,""7"",0"
"28246,1084,51,51,6,""6"",0"
"28247,1084,214,81,5,""5"",0"
"28248,1084,213,27,8,""8"",0"
"28249,1084,117,18,9,""9"",0"
"28250,1084,3,3,10,""10"",0"
"28251,1084,1,81,4,""4"",0"
"28252,1084,9,359,1,""1"",7"
"28253,1085,6,314,2,""2"",4"
"28254,1085,131,270,3,""3"",0"
"28255,1085,210,34,7,""7"",0"
"28256,1085,51,51,6,""6"",0"
"28257,1085,214,93,4,""4"",0"
"28258,1085,213,27,8,""8"",0"
"28259,1085,117,19,9,""9"",0"
"28260,1085,3,3,10,""10"",0"
"28261,1085,1,89,5,""5"",0"
"28262,1085,9,396,1,""1"",8"
"28263,1086,6,334,2,""2"",4"
"28264,1086,131,304,3,""3"",0"
"28265,1086,210,34,7,""7"",0"
"28266,1086,51,51,6,""6"",0"
"28267,1086,214,99,4,""4"",0"
"28268,1086,213,27,8,""8"",0"
"28269,1086,117,20,9,""9"",0"
"28270,1086,3,3,10,""10"",0"
"28271,1086,1,95,5,""5"",0"
"28272,1086,9,431,1,""1"",9"
"28273,1087,6,357,2,""2"",4"
"28274,1087,131,316,3,""3"",0"
"28275,1087,210,34,7,""7"",0"
"28276,1087,51,51,6,""6"",0"
"28277,1087,214,115,4,""4"",0"
"28278,1087,213,29,8,""8"",0"
"28279,1087,117,24,9,""9"",0"
"28280,1087,3,4,10,""10"",0"
"28281,1087,1,95,5,""5"",0"
"28282,1087,9,475,1,""1"",10"
"28283,1088,6,376,2,""2"",4"
"28284,1088,131,346,3,""3"",0"
"28285,1088,210,34,7,""7"",0"
"28286,1088,51,51,6,""6"",0"
"28287,1088,214,125,4,""4"",0"
"28288,1088,213,29,8,""8"",0"
"28289,1088,117,25,9,""9"",0"
"28290,1088,3,4,10,""10"",0"
"28291,1088,1,101,5,""5"",0"
"28292,1088,9,511,1,""1"",11"
"28293,1089,6,406,2,""2"",4"
"28294,1089,131,371,3,""3"",0"
"28295,1089,210,34,7,""7"",0"
"28296,1089,51,52,6,""6"",0"
"28297,1089,214,125,4,""4"",0"
"28298,1089,213,33,8,""8"",0"
"28299,1089,117,25,9,""9"",0"
"28300,1089,3,6,10,""10"",0"
"28301,1089,1,107,5,""5"",0"
"28302,1089,9,545,1,""1"",12"
"28303,1091,6,439,2,""2"",4"
"28304,1091,131,373,3,""3"",0"
"28305,1091,210,34,8,""8"",0"
"28306,1091,51,52,6,""6"",0"
"28307,1091,214,125,5,""5"",0"
"28308,1091,213,34,9,""9"",0"
"28309,1091,117,37,7,""7"",0"
"28310,1091,3,6,10,""10"",0"
"28311,1091,1,129,4,""4"",0"
"28312,1091,9,576,1,""1"",13"
"28332,1092,9,619,1,""1"",14"
"28331,1092,1,130,5,""5"",0"
"28328,1092,213,34,9,""9"",0"
"28325,1092,210,34,8,""8"",0"
"28323,1092,6,454,2,""2"",4"
"28330,1092,3,8,10,""10"",0"
"28324,1092,131,387,3,""3"",0"
"28327,1092,214,143,4,""4"",0"
"28329,1092,117,45,7,""7"",0"
"28326,1092,51,52,6,""6"",0"
"28370,1093,3,8,10,""10"",0"
"28371,1093,1,138,5,""5"",0"
"28367,1093,214,149,4,""4"",0"
"28363,1093,6,469,2,""2"",4"
"28369,1093,117,49,7,""7"",0"
"28368,1093,213,35,9,""9"",0"
"28366,1093,51,52,6,""6"",0"
"28365,1093,210,36,8,""8"",0"
"28364,1093,131,416,3,""3"",0"
"28382,1094,9,696,1,""1"",16"
"28381,1094,1,146,5,""5"",0"
"28378,1094,213,35,9,""9"",0"
