year;raceId;driverId;constructorId;grid;driverStandPos;driverPoints;constructorStandPos;constructorPoints;driverAvgCircuit;constructorAvgCircuit;driverForm;constructorForm;circuitId;round;podium
2000;162;15;17;7;9.000;4.000;4.000;9.000;10.000;12.944;12.200;12.600;4;5;0
2000;162;21;22;13;6.000;8.000;5.000;8.000;13.500;7.444;7.800;11.200;4;5;0
2000;162;22;6;3;4.000;13.000;1.000;49.000;12.429;8.500;9.800;5.800;4;5;1
2000;162;23;3;5;5.000;12.000;3.000;15.000;11.000;8.737;6.800;12.600;4;5;0
2000;162;25;22;18;13.000;0.000;5.000;8.000;7.000;7.526;11.000;9.000;4;5;0
2000;162;30;6;1;1.000;36.000;1.000;49.000;2.778;8.211;1.600;6.200;4;5;0
2000;162;35;16;6;8.000;5.000;6.000;6.000;6.000;11.000;10.200;12.200;4;5;0
2000;162;37;21;22;18.000;0.000;8.000;0.000;11.000;16.833;15.600;16.000;4;5;0
2000;162;48;18;20;17.000;0.000;10.000;0.000;20.000;16.056;14.800;14.600;4;5;0
2000;162;49;17;8;7.000;5.000;4.000;9.000;11.000;12.895;12.000;14.400;4;5;0
2000;162;50;21;11;15.000;0.000;8.000;0.000;10.000;17.429;15.800;18.800;4;5;0
2000;162;55;20;17;22.000;0.000;11.000;0.000;9.556;12.714;13.600;16.200;4;5;0
2000;162;57;1;2;2.000;22.000;2.000;42.000;10.375;8.158;7.200;2.000;4;5;1
2000;162;63;15;12;11.000;1.000;7.000;1.000;13.800;12.077;12.000;10.800;4;5;0
2000;162;64;15;15;16.000;0.000;7.000;1.000;16.600;11.714;12.600;8.000;4;5;0
2000;162;65;19;14;20.000;0.000;9.000;0.000;12.750;11.000;12.600;10.600;4;5;0
2000;163;14;1;1;3.000;24.000;2.000;52.000;7.800;11.133;7.200;1.600;20;6;1
2000;163;15;17;6;9.000;4.000;5.000;9.000;11.500;12.900;10.400;12.600;20;6;0
2000;163;21;22;7;6.000;10.000;4.000;10.000;13.250;8.800;6.800;8.800;20;6;0
2000;163;22;6;4;4.000;16.000;1.000;62.000;7.200;8.782;8.800;6.400;20;6;0
2000;163;23;3;5;5.000;12.000;3.000;15.000;14.667;9.412;6.600;8.000;20;6;0
2000;163;25;22;14;15.000;0.000;4.000;10.000;14.000;8.455;11.000;8.000;20;6;0
2000;163;30;6;2;1.000;46.000;1.000;62.000;5.750;8.727;2.200;7.000;20;6;1
2000;163;35;16;9;8.000;5.000;6.000;6.000;5.000;9.000;12.200;14.800;20;6;0
2000;163;37;21;12;13.000;1.000;8.000;1.000;12.000;12.000;17.200;19.200;20;6;0
2000;163;41;16;18;12.000;1.000;6.000;6.000;8.000;11.000;10.800;15.400;20;6;0
2000;163;48;18;20;19.000;0.000;10.000;0.000;6.000;13.091;14.000;14.200;20;6;0
2000;163;49;17;10;7.000;5.000;5.000;9.000;12.600;13.636;12.400;12.400;20;6;0
2000;163;50;21;13;17.000;0.000;8.000;1.000;13.667;11.455;15.800;17.600;20;6;0
2000;163;55;20;17;20.000;0.000;11.000;0.000;10.200;11.167;16.400;16.400;20;6;0
2000;163;57;1;3;2.000;28.000;2.000;52.000;6.800;10.871;7.200;1.800;20;6;1
2000;163;63;15;19;11.000;1.000;7.000;1.000;12.400;14.600;10.600;11.200;20;6;0
2000;163;64;15;15;14.000;0.000;7.000;1.000;14.400;15.000;14.800;13.400;20;6;0
2000;163;65;19;16;22.000;0.000;9.000;0.000;7.800;16.000;13.800;13.000;20;6;0
2000;164;14;1;3;2.000;34.000;2.000;63.000;15.000;10.217;4.000;2.000;6;7;1
2000;164;15;17;2;9.000;4.000;5.000;9.000;12.667;14.556;11.600;15.200;6;7;0
2000;164;21;22;8;5.000;14.000;4.000;14.000;8.250;11.286;6.800;9.000;6;7;1
2000;164;22;6;6;4.000;22.000;1.000;68.000;13.000;7.862;9.200;3.200;6;7;1
2000;164;23;3;9;6.000;12.000;3.000;15.000;13.667;9.733;9.600;14.000;6;7;0
2000;164;25;22;12;16.000;0.000;4.000;14.000;11.000;11.000;12.000;7.800;6;7;0
2000;164;30;6;1;1.000;46.000;1.000;68.000;6.875;7.809;2.200;3.000;6;7;0
2000;164;35;16;17;8.000;5.000;6.000;6.000;11.250;16.000;14.400;14.800;6;7;0
2000;164;37;21;16;14.000;1.000;9.000;1.000;19.000;13.656;14.400;16.800;6;7;0
2000;164;48;18;21;20.000;0.000;10.000;0.000;20.000;16.704;15.200;13.200;6;7;0
2000;164;49;17;4;7.000;5.000;5.000;9.000;11.667;14.579;13.600;14.800;6;7;0
2000;164;50;21;15;17.000;0.000;9.000;1.000;18.000;13.909;15.600;16.800;6;7;0
2000;164;55;20;7;22.000;0.000;11.000;0.000;9.100;10.143;15.000;12.600;6;7;0
2000;164;57;1;5;3.000;29.000;2.000;63.000;12.875;10.066;4.200;1.800;6;7;0
2000;164;63;15;13;11.000;3.000;8.000;3.000;8.400;12.857;12.400;13.200;6;7;0
2000;164;64;15;19;15.000;0.000;8.000;3.000;12.800;12.333;13.800;12.000;6;7;0
2000;164;65;19;11;21.000;0.000;7.000;3.000;12.000;4.000;11.600;11.000;6;7;0
2000;165;14;1;2;2.000;34.000;2.000;66.000;10.000;10.833;2.000;2.600;7;8;0
2000;165;15;17;7;9.000;5.000;5.000;10.000;19.333;12.444;13.800;14.400;7;8;0
2000;165;21;22;10;5.000;18.000;3.000;18.000;3.750;11.615;7.000;10.000;7;8;1
2000;165;22;6;3;4.000;28.000;1.000;84.000;12.429;9.878;6.600;4.800;7;8;1
2000;165;23;3;12;6.000;12.000;4.000;15.000;13.333;10.318;11.400;14.800;7;8;0
2000;165;25;22;14;17.000;0.000;3.000;18.000;13.333;11.296;12.000;8.600;7;8;0
2000;165;30;6;1;1.000;56.000;1.000;84.000;4.875;9.690;4.400;4.200;7;8;1
2000;165;35;16;6;8.000;5.000;6.000;6.000;11.250;16.500;12.400;11.200;7;8;0
2000;165;37;21;9;15.000;1.000;9.000;3.000;16.000;15.069;17.200;14.800;7;8;0
2000;165;41;16;8;14.000;1.000;6.000;6.000;19.000;16.000;13.000;12.600;7;8;0
2000;165;48;18;20;20.000;0.000;10.000;0.000;8.000;14.815;16.400;14.800;7;8;0
2000;165;49;17;5;7.000;5.000;5.000;10.000;15.000;12.105;15.000;14.400;7;8;0
2000;165;50;21;13;13.000;2.000;9.000;3.000;16.000;15.133;16.400;14.600;7;8;0
2000;165;55;20;17;22.000;0.000;11.000;0.000;10.900;14.429;14.800;14.800;7;8;0
2000;165;57;1;4;3.000;32.000;2.000;66.000;15.625;10.744;2.600;3.800;7;8;0
2000;165;63;15;15;11.000;3.000;8.000;3.000;12.500;14.429;9.000;13.800;7;8;0
2000;165;64;15;19;16.000;0.000;8.000;3.000;11.400;14.667;12.800;13.000;7;8;0
2000;165;65;19;11;21.000;0.000;7.000;3.000;15.400;13.000;11.000;10.600;7;8;0
2000;166;14;1;2;2.000;44.000;2.000;82.000;8.200;11.056;2.800;4.000;8;9;1
2000;166;15;17;9;8.000;6.000;5.000;11.000;12.000;12.833;12.000;14.400;8;9;0
2000;166;21;22;14;5.000;18.000;3.000;18.000;12.500;9.500;5.400;9.400;8;9;0
2000;166;22;6;3;4.000;32.000;1.000;88.000;9.714;8.833;6.200;3.600;8;9;1
2000;166;23;3;5;6.000;14.000;4.000;17.000;8.667;4.579;10.800;13.600;8;9;0
2000;166;25;22;17;17.000;0.000;3.000;18.000;11.667;9.474;12.000;8.800;8;9;0
2000;166;30;6;1;1.000;56.000;1.000;88.000;6.750;8.526;4.400;4.000;8;9;0
2000;166;35;16;7;7.000;8.000;6.000;9.000;6.250;12.000;14.400;11.200;8;9;0
2000;166;37;21;13;15.000;1.000;9.000;3.000;11.000;14.500;17.400;14.400;8;9;0
2000;166;41;16;19;14.000;1.000;6.000;9.000;9.000;9.333;12.200;9.400;8;9;0
2000;166;48;18;21;20.000;0.000;10.000;0.000;17.000;16.167;15.400;14.600;8;9;0
2000;166;49;17;8;9.000;5.000;5.000;11.000;7.667;12.474;14.800;11.600;8;9;0
2000;166;50;21;20;13.000;2.000;9.000;3.000;18.250;14.857;14.600;14.400;8;9;0
2000;166;55;20;18;22.000;0.000;11.000;0.000;9.556;12.571;15.000;15.200;8;9;0
